FADD FE_TOWARDZERO 28
133173928 83790508 133173928 
50690378 124918682 124918682 
51809854 219315400 219315399 
57967580 101005118 101005118 
236684714 67094134 236684713 
246526888 92833194 246526887 
264404428 250329562 264404428 
163376444 164637896 164743791 
17772418 220605656 220605655 
145554224 223572914 223572914 
8111732 201281972 201281971 
190259136 221691890 221691890 
176985140 95284232 95284231 
216549566 65497328 216549565 
209170974 8395084 209170973 
77796240 1895422 77796240 
30336624 66006272 66006272 
126654402 243931734 126654401 
118113050 138118686 118113049 
163153388 4487902 163153387 
135518638 78760654 78760653 
35909454 248121758 248121757 
163224020 212987508 212987508 
124987176 30194270 124987176 
8561808 15265068 15265153 
228848262 51211244 228848261 
77736888 28674084 77736888 
122720024 99002402 122720024 
234062976 138473528 234062976 
78104438 139957960 78104437 
262218388 255422662 262218463 
169944804 216116580 216116580 
255603836 77435472 255603835 
96438078 55925324 96438078 
129192504 188023932 129192503 
105685934 115338060 115338063 
165253598 70059546 70059545 
260226400 103660378 260226399 
249564140 148191182 249564140 
26939956 187085314 187085313 
262752116 194071338 262752116 
32806288 196939374 196939373 
131484672 27598172 131484672 
42416740 182370904 182370416 
105443812 124930584 124930584 
182598190 214102646 214102646 
203157248 178541870 203157248 
174476202 37864686 174436187 
245467248 251154308 251154613 
198394178 122700808 122700807 
46748348 230678012 230678011 
254790278 7090270 254790277 
251558362 49238442 251558361 
167099224 103730114 103730113 
241058378 128807180 128807179 
213399110 240789056 240789056 
197181434 267433428 267433428 
122421134 3078644 122421134 
3124692 208755612 208755611 
168794304 21181374 168794303 
261818136 13177174 261818135 
223654166 19525086 223654165 
12985278 222223478 222223477 
266628566 208228710 266628566 
201473338 154156222 201473338 
104276118 238780442 238010172 
6126228 45759838 45759838 
53190876 8365994 53190876 
191803578 266627926 266627926 
265883930 231740352 265883930 
87980400 193220328 87980399 
75963056 151098956 75963055 
8285450 125508402 125508402 
81181970 73110542 81181993 
82636300 33643392 82636300 
13471882 79382254 79382254 
63704764 207978606 207978604 
214230270 44988126 214230269 
216801294 24171410 216801293 
149856244 11581380 149851780 
72784702 227044498 227044497 
175785338 32365368 175785334 
208645906 252457516 252457516 
145356666 47294060 47294059 
17024670 67105142 67105142 
119550360 89166288 119550360 
155742894 248519976 248519976 
1411716 129869578 129869578 
27917144 139675040 27917143 
145338058 113452674 113452673 
188866702 181321086 188866731 
211351630 91264312 91264311 
85162250 95232444 95232445 
34496084 43755176 43755179 
138830048 234950380 234950380 
197880254 211943070 211943070 
188563742 91471662 91471661 
7289406 248239636 248239635 
90245950 177970206 90245949 
77698612 16366334 77698612 
218793110 238948000 238948000 
173448556 128100342 128100341 
181367928 108216480 108216479 
227021320 167162118 227021320 
91580898 267230556 267230555 
105610672 50248406 105610672 
8303322 180989596 180989595 
140864958 130563896 130563895 
240108300 65713750 240108299 
49931670 203911418 203911417 
185971208 142292136 185971208 
133399222 46769998 133399222 
136069814 161079894 161079894 
190978628 204347268 204347268 
18148990 225888992 225888991 
190796576 26597460 190796575 
122075848 36886894 122075848 
186277146 21515130 186277145 
86580196 186421286 86580195 
221285762 28624338 221285761 
22110674 171461404 171461403 
257353482 171708180 257353482 
72301462 256775536 256775535 
2689972 116885962 116885962 
144611004 29116202 29116201 
145595220 255539286 255539286 
25423218 261072130 261072129 
161565496 187953724 187953724 
78864038 99671826 99671826 
162406884 248204396 248204396 
169718326 55429624 55429623 
124880212 178600492 124880211 
39527792 164453940 39527788 
149140800 240120390 240120390 
20844294 95597294 95597294 
77175172 201371228 77175170 
17257514 3033216 17257514 
252130660 46189374 252130659 
165681318 72721164 72721163 
67209582 241399132 241399131 
163839566 47039496 47039495 
240448824 131696008 131696007 
206749912 193777308 206749912 
10898864 113444150 113444150 
208631822 47756376 208631821 
114553468 26647642 114553468 
68562842 224728528 224728527 
111615398 151786758 111615397 
99925874 63819460 99925874 
20827608 120827014 120827014 
51140538 247704474 247704473 
16753820 252825164 252825163 
237317762 196481178 237317762 
116707098 214065670 116707097 
27323400 2851514 27323400 
75259328 132078288 132078288 
256086184 118416726 256078557 
240372100 45115154 240372099 
251156526 244448326 251156605 
137760280 141621360 141624958 
37726092 125518412 125518412 
65053004 11020818 65053004 
189949302 31170180 189949301 
77888046 116872264 116872264 
5692016 92058312 92058312 
156953922 9147200 156953921 
13254356 169376216 169376215 
73748364 63972032 73748366 
167182456 197630340 197630340 
46163900 242258822 242258821 
112888304 266272152 266272151 
70101750 54201774 70101750 
169646484 43963408 43963395 
228662952 216554110 228662952 
54121432 253026706 253026705 
235469454 78167394 235469453 
253696212 181663552 253696212 
118170436 30952706 118170436 
257858140 118691224 257856721 
180495766 172710944 180495788 
140933752 224788076 224788076 
60010256 224121396 224121395 
144778494 214611646 214611646 
147267424 196816436 196816436 
108293618 215256404 108293617 
243784606 148308100 243784606 
89741728 3617324 89741728 
111452236 191885742 111452235 
231993546 241704880 241704881 
125296488 181864772 125296487 
49048448 128570874 128570874 
201640440 252993896 252993896 
216414546 13058372 216414545 
141231740 189521254 189521254 
16769570 51177800 51177800 
202849678 80256156 80256155 
3906478 111750500 111750500 
36387560 250161134 250161133 
242621378 54387224 242621377 
172166914 30765114 172166860 
1267824 115788886 115788886 
162231852 266154990 266154990 
44481712 146593912 44481711 
111116658 108846742 111159213 
221711164 219190448 221746311 
71356972 42927798 71356972 
255113468 110081558 255113467 
122805530 113237214 122805531 
87147752 111498570 111498570 
161285156 5665784 161285155 
12278432 136704346 12278430 
228901384 253095558 253095558 
206767084 141883990 206767084 
32049542 210565890 210565889 
41609948 63950792 63950792 
149098572 157540104 157540115 
231231660 174890216 231231660 
146864902 72382736 72382735 
12433082 176115420 176115419 
2395868 32843368 32843368 
115753440 266592114 266592113 
144201482 175136324 175136324 
37139280 118282744 118282744 
122082328 87313754 122082328 
115633360 111415376 115636448 
6409656 169137210 169137209 
140120336 32828950 32828949 
157493180 14134376 157493176 
16572408 117812700 117812700 
105770962 96488634 105770966 
60710580 126138814 126138814 
74957792 228061342 228061341 
27480672 252662290 252662289 
92267952 30687922 92267952 
66342188 135607090 66342187 
4013408 135940942 3971243 
40976098 124431254 124431254 
82391962 1988108 82391962 
205813290 184990330 205813290 
118719606 176699474 118719605 
190178466 165310220 190178466 
97583060 156656922 97583059 
265179348 83753984 265179347 
97478268 78287722 97478268 
189100756 178398380 189100756 
120644648 163961348 120644647 
111669646 238392108 111669591 
202047460 1977946 202047459 
243430450 99553626 243430448 
111145816 215982984 111145815 
193558654 82046534 82046533 
153250124 205199370 205199370 
3000546 167272240 167272239 
259764310 185301282 259764310 
117447078 263854212 263854211 
66833770 67978106 68164458 
206188972 38743362 206188971 
67121228 250213892 250213891 
255563460 84841750 255563459 
259479762 71268528 259479761 
61755508 144034902 61755507 
207642468 41928442 207642467 
10608366 198238462 198238461 
17516656 250124162 250124161 
131632696 151909946 131632695 
102445302 64021012 102445302 
96900164 173523594 96900163 
198508260 150187604 198508260 
209113380 265620232 265620232 
168290970 198802112 198802112 
160125052 144903308 160125052 
159994896 240758904 240758904 
258380056 258428026 258928329 
179130540 251341414 251341414 
195627070 247176232 247176232 
104956118 16184730 104956118 
218126980 194929348 218126980 
127526314 108426350 127526314 
191757926 205495002 205495002 
51695040 157988244 51695039 
66796972 2802232 66796972 
261766570 104602910 261766569 
48107518 103114300 103114300 
215099176 43804362 215099175 
98745678 180058120 98745677 
179202310 23711566 179202309 
101230464 13980002 101230464 
53372010 210106460 210106459 
13364222 6003750 13364268 
265516716 155005598 265516716 
77235948 207715236 77231092 
248541736 209860234 248541736 
3903454 34663758 34663758 
41243098 91717608 91717608 
239630488 240003196 240341130 
156136486 196501234 196501234 
50197060 155390780 50197059 
224810554 147903180 224810554 
251415842 199555136 251415842 
156872388 22224614 156253858 
247247780 45181862 247247779 
254303658 247712538 254303752 
178876014 33773588 178876013 
153242704 21020768 20978587 
17796708 98329652 98329652 
98195790 76973430 98195790 
