FMUL FE_TOWARDZERO 29
16468026 171720420 56086007 
71282368 395903772 335067835 
491750194 483726518 266338303 
139169242 392537264 399719466 
462886204 507820264 266338303 
64371372 27083972 0 
312469618 39632436 268435456 
253698910 115071674 236653666 
106363486 277010300 268435456 
334798146 385663566 51508010 
513466630 35786158 417245249 
344078852 459914210 135045961 
186718784 319241076 373855614 
362919030 157253940 388067759 
342654112 424120058 97975975 
14833662 338483562 268435456 
38885600 221557694 128492237 
336178862 227248356 431535369 
136586028 385432442 390090984 
288068230 110566834 268435456 
463632562 414106748 208822568 
40303972 88808044 0 
442086350 527095560 266338303 
231996958 360088416 460081443 
504069162 155563748 527646744 
453673792 449407744 234292816 
446553038 123291280 437738487 
320205708 361240324 12700574 
509683968 479902746 266338303 
104376320 501377854 473755743 
280070012 379188384 0 
532939948 368223196 232325052 
86268216 316851122 271023381 
375713428 52047172 295801429 
249354762 181775024 266338303 
243954584 218885034 266338303 
511637452 380936788 223594763 
240249202 413578972 521953902 
356402976 472431468 159883988 
259652006 367791120 495445647 
432745270 458023176 222071548 
401593776 466536862 199424071 
375681820 86106594 329684991 
156731050 307395510 332123273 
240984908 288994668 397877438 
162226002 312812638 343037825 
236027740 114980410 218969819 
529158838 277465086 137839227 
113612582 487544708 469212365 
457634304 24807436 350461465 
147310564 322182704 337667372 
312819428 290489428 0 
197403478 96148864 161571131 
306077242 281191298 0 
472333706 451023884 254396919 
78463124 504747976 451285516 
280875988 484249694 96140725 
91824012 480623860 440512227 
326222526 160638844 354928098 
103879460 526722448 498661308 
286144962 146961942 301058034 
530740528 259626162 534773759 
411799684 469052934 212087553 
340679928 310249142 0 
159794914 25123210 52814675 
35717558 158496352 62131397 
51868784 503716550 423691349 
389299426 150513260 407780635 
472190624 57388362 397579347 
18919754 105869556 0 
240570320 279016436 387534059 
282097280 327860752 0 
33976380 507286766 409232042 
451863696 362266544 145283294 
83438538 455928870 407380238 
493526142 76366498 438060235 
121414300 472234840 461619072 
185708784 217793536 266338303 
61904090 479011152 409092594 
329872616 283951270 0 
336119406 264263910 468268980 
360914754 465742480 157682794 
299533174 77227654 268435456 
165804774 360698282 394388044 
362697186 526723730 220475594 
62931982 259224008 190046000 
315347840 406989424 53398230 
33090352 146845894 47850909 
326717000 20522552 268435456 
316631936 148160912 332678950 
189027772 224245022 266338303 
4140522 69536008 0 
212425804 452687354 533097812 
468062618 295951586 95070726 
57014388 146522614 71529502 
117753890 423192980 409009899 
56664958 444026278 368601139 
145784710 277316368 291234317 
273455866 124558172 268435456 
244808570 502406164 534773759 
528408192 81774166 478062042 
233913244 407241198 509245889 
222486734 345883084 436316129 
486190124 405198276 222534194 
122917858 136915068 128002909 
160239610 88925638 117389704 
323120132 258734370 449793314 
100873712 431370526 400269584 
449721548 348095206 128834170 
395627682 235355748 499146795 
325333134 358071388 14616697 
522642572 222333788 534773759 
255359868 385114432 508443176 
519918366 236438328 534773759 
35242578 384410526 287675430 
323776848 7651292 268435456 
240056768 395297080 503516475 
359156906 94723680 321851262 
430883744 493939930 256098248 
165569330 44814884 78296958 
401447812 37690514 307034482 
523594000 435667390 266338303 
220202814 171446958 259530590 
321046612 309103482 0 
298945078 410387658 40489042 
287543296 456635710 75360491 
243386896 232341516 266338303 
150935446 131172152 150000475 
168916884 137268682 174324617 
240000822 434779796 534773759 
517990626 432563946 266338303 
527362822 515166170 266338303 
255210508 196626152 266338303 
142111648 222303722 232299080 
491482778 140099682 499593487 
174722662 215914826 258548397 
70456794 169436780 107860279 
485055860 524435964 266338303 
331847846 136470576 336234805 
432821176 437543274 201607037 
477810780 136116858 481823108 
66514906 206823002 141329918 
483779344 146785868 498446970 
31852162 362529264 268435456 
187857548 105435312 161493296 
389015190 248285908 505501294 
447265308 316674856 94950013 
28039068 241263950 137216292 
236699250 11862418 116489005 
476664072 349222752 157214287 
71803208 478288614 418004140 
353166140 66581342 287784440 
447094548 479371158 257707692 
408580394 266338303 534773759 
114837710 510927754 493738600 
236756584 246794648 266338303 
115104038 301138772 284170797 
201423882 514272798 534773759 
442875470 25304442 336084215 
127176980 211611148 206703496 
35688372 105799222 9383535 
212097938 406403566 486572662 
382485026 438654758 152282367 
342261938 142102096 352444344 
42868426 69519458 0 
23635184 59355458 0 
382653736 510573828 224539525 
10353090 258927372 137195296 
522156364 99216920 489264599 
113422942 143180376 124531118 
500992802 454592422 266338303 
444760604 502088890 266338303 
434447008 11124990 313554003 
63844210 227813682 159753287 
180515202 297844006 346242329 
479075440 462861496 266338303 
77703552 166772914 112412916 
235436568 285176010 388505477 
343403308 79111574 290467568 
86075274 485419486 439417080 
449860344 320769748 101661752 
356744762 189364756 414056737 
106761300 421540618 396193202 
121620096 522262532 511769160 
129929318 401047950 398892708 
442758952 384746292 158633646 
121236484 18774094 7899524 
509502292 57159240 434580274 
315396216 253977830 437340807 
140179322 216583342 224761665 
449143242 371002798 151234866 
75199000 109164790 52340033 
151920208 371870066 391967138 
376065670 110000364 354250943 
294916938 421463460 47400851 
357094018 71825352 296942758 
433701450 304914814 69748561 
157147970 67299584 92389898 
403684846 41999068 313590900 
39076154 16765168 0 
21679724 215887642 105486201 
123864260 143057142 134829263 
85347998 40186770 0 
493558650 236040824 534773759 
384642696 302519660 18389097 
493281624 197171304 534773759 
243140188 104771316 215793590 
250267262 383851294 502022385 
329415128 494408538 154954259 
36840130 120767940 25675284 
477654106 521122530 266338303 
82086608 472870606 422980201 
161071710 418999254 447992429 
440947130 477257796 249526525 
506508214 518342394 266338303 
177489654 214853466 260433772 
298859878 82343720 268435456 
32358390 333365882 268435456 
138219670 182918252 189092153 
125192540 165143636 158296247 
33354816 282740510 268435456 
148901414 296817846 313600617 
407573440 304298178 42953217 
330171846 202515578 400821949 
527500212 364245330 222908385 
28706138 529940010 426625276 
171129348 381445024 420501025 
124854200 140875172 133804644 
144928620 367448036 380304005 
487696424 365985786 184918377 
432046632 452287418 215364801 
214361338 309323758 391789109 
34345854 257682806 159991169 
99335384 277709002 268435456 
83260784 99090904 50465527 
228134102 525662400 534773759 
6843002 32045374 0 
509475682 60065250 437444072 
67245260 493998034 429198638 
55551076 214179824 137742461 
45994244 249507918 163383400 
407202156 380522132 118891369 
454826256 502624836 266338303 
265124258 136562544 266338303 
110269814 161286430 139476393 
50957812 286508380 268435456 
252984246 363600896 484704231 
350258136 261462938 479623288 
490862360 445255520 266338303 
82605278 277755594 268435456 
211878650 84222468 163991176 
307446574 98455434 273803466 
123815554 498180878 489921924 
186697618 408180458 462789973 
