FSUB FE_TOWARDZERO 28
213221532 99520252 233737980 
114954822 64586344 114954821 
108418792 150102496 108418792 
208852922 25717952 208852922 
228747744 177692254 228747743 
78475412 92612504 226830231 
92603496 220120654 92603614 
217447446 194010868 217447445 
222759954 198935292 222759953 
46487646 108275044 242492771 
238436478 109211632 243430272 
26157814 147844766 26157814 
217861470 131592900 265810628 
59429758 138981588 59429758 
153379634 145175898 153379618 
85887326 24810802 85887325 
148759008 185518660 51300931 
26490906 171031122 36813394 
88225228 20564106 88225227 
53910384 257526066 123308338 
230067858 123308894 257526622 
266794480 199681850 266794479 
65575866 201513806 67366597 
72634656 11556290 72634655 
181150078 227586422 93368693 
265182322 24114932 265182322 
236973862 254394200 120176471 
197971576 225847670 91629941 
139103688 8210090 142438625 
145696246 205981588 71763859 
122195092 221534902 122195092 
250100898 166229678 250100897 
54532748 24115218 54532747 
143270496 178517190 44299461 
257498152 253540404 257494895 
47548440 18150442 47548439 
115671356 113218968 115639439 
65823534 14573416 65823533 
259159054 152597558 259159053 
127396460 265828754 131613063 
231041304 232743264 98415677 
148872140 236286822 102069093 
194814842 71091004 205308732 
197493432 238847054 104629325 
150051724 59586204 193803932 
103238346 116658920 250876647 
206754938 157567448 206754937 
141308778 60500364 194718092 
217467004 221672298 87450913 
243505336 190250996 243505335 
206840760 15752674 206840760 
145788718 13598306 147867683 
43222076 214614898 80397170 
27976610 100628484 234846211 
45428524 173542578 45428781 
81594700 158116134 81594700 
198593106 155040640 198593105 
249378818 94719908 249378818 
205880922 252074136 117856407 
188980160 210455928 76238199 
177226422 234494192 100276463 
194921362 147108178 194921361 
243465404 86650010 243465404 
49542250 56645142 190862822 
227971952 52446144 227971952 
81462432 64692160 81462431 
179033450 32310220 179033450 
220287680 46603488 220287680 
88492342 78602902 88492340 
80642404 61103020 80642403 
140593636 240018078 105800349 
49117786 35255506 49117785 
59000218 258835820 124618092 
60186964 260025084 125807356 
9444716 30506290 164724017 
209267588 180370278 209267587 
22207596 190799320 56581592 
59161476 49197258 59161474 
104997640 216559782 104997640 
152466812 60671334 194889062 
49883700 8896906 49883699 
149197110 265349548 131131819 
170072876 5703672 170072876 
263226536 217649330 263226535 
215783162 231792978 97575249 
198215938 158606082 198215937 
141914364 44139058 178356786 
262153614 70659080 262153614 
141509620 223024122 88806393 
66810748 168730432 66810748 
31270548 87464370 221682097 
212735654 28029134 212735654 
240725978 1502442 240725978 
76072860 70041492 76072656 
85682628 214148310 85683000 
161278632 151759292 161278629 
187223650 52397018 187477848 
14659180 243266334 109048606 
190749308 34214838 190749308 
174951332 104472162 238689890 
181193118 193342096 59124367 
152339000 253759796 119542067 
150089118 224389710 90171981 
52333964 213677056 79459328 
7991404 244856342 110638614 
48132472 209599402 75381674 
264940462 26748686 264940462 
260949248 24450400 260949248 
65841490 126325758 260543485 
173066788 245742442 111524713 
104878740 1334980 104878739 
240272936 253366072 119148343 
238853536 113799066 248016797 
110225394 198264996 110225394 
212612206 75862878 212640008 
24866780 135453258 24866780 
109355000 115488500 249706026 
247216452 129347194 263564922 
66764424 142145652 66764424 
2245598 186817052 52599324 
197372934 247403072 113185343 
211137504 234879316 100661587 
1288898 267044956 132827228 
107600626 237881896 107604156 
264747624 251580708 264747623 
202659480 36832168 202659480 
238344596 16466464 238344596 
237150670 170891334 237150669 
120818890 104307628 120818889 
94463172 145463198 94463172 
177013098 224638756 90421027 
132789446 10190944 132789445 
256958552 22190046 256958552 
253260220 261376236 127158491 
249736348 92122238 249736348 
112697930 215726364 112697930 
42081406 23413434 42081405 
219031552 138015924 219031551 
36956858 247876010 113658282 
100851454 216483120 100851454 
107862274 164013950 107862274 
149831380 9065778 149831545 
164495046 174731560 40513831 
71954094 121200292 255418019 
16171950 65887668 200105395 
167516334 50954800 185172528 
61230400 101473214 235690941 
206374906 259369550 125151821 
186675370 175116232 186675369 
206200240 51102128 206200240 
45427726 67987874 202205601 
28065214 174576858 40359130 
58688182 215857242 81639514 
65399348 69099210 203309813 
157539660 147147638 157539659 
144435082 100533922 234751650 
213760868 129721984 263939712 
238042588 206053262 238042587 
32216024 113065918 247283645 
124894744 26651498 124894743 
123905692 165774156 123905692 
194181758 247887826 113670097 
121881818 72687710 121881817 
116609998 248568630 116646273 
127504986 38849294 127504985 
129830844 137074704 129830844 
256665342 89930408 256665342 
57965318 139736730 57965318 
42208508 165485154 42208508 
180558694 209984064 75766335 
168331554 49341812 183559540 
80896418 98329664 232547391 
240906934 122153862 256371590 
20829720 157922500 23718940 
65775234 75815430 210033156 
227319730 218192066 227319725 
226259852 183655224 226259851 
163034158 172997822 38780092 
252092440 178624496 252092439 
261586092 260550622 261329076 
196569900 250028024 115810295 
267794908 68530306 267794908 
262209532 4787224 262209532 
140849286 216943766 82726037 
41054678 212841270 78623542 
112624226 46466096 112624225 
120037834 95470144 120037833 
51151906 230388240 96170512 
16714688 119468576 253686303 
51856186 246109682 111891954 
206831082 210224518 75994510 
200683968 75055404 209273139 
233244468 79156512 233244468 
257450506 20595724 257450506 
125105280 14111686 125105279 
253989260 129924932 264142661 
178873116 183829334 49610404 
80425714 57460996 80425713 
87368094 253691620 119473892 
36836876 34911538 36784824 
20887724 251931500 117713772 
187689378 132313918 266531646 
76677718 267780828 133563100 
222257338 2357930 222257338 
199368922 36309416 199368922 
200655580 206793890 72575941 
65205228 37720132 65205227 
227826746 184610330 227826745 
170926444 43126368 177344226 
21628610 193216298 58998570 
191210278 203392558 69174829 
18284002 103295568 237513295 
151260046 108000198 242217926 
160976022 223611924 89394195 
167648406 247373536 113155807 
215071450 8675908 215071450 
127451956 67393080 127451955 
168151248 116270324 250488052 
211692004 60957776 211692004 
214400258 154714250 214400257 
93528680 4536118 93528679 
39750698 81913924 216131651 
72277844 263091508 128873780 
47712990 130269218 264486945 
104360002 244021582 109804392 
236928478 262854460 128636731 
28163092 259963364 125745636 
50094530 211420654 77202926 
249071376 32667630 249071376 
36728928 129179736 263397463 
247813640 220592020 247813639 
156407268 156411552 18374144 
14648980 129979066 264196793 
251161990 236331998 251161989 
19971246 88009908 222227635 
49150876 2018538 49150875 
27178614 118335704 252553431 
149134574 204107968 69890239 
203464728 68368780 203648635 
227690860 12435444 227690860 
242101018 220775526 242101017 
64649688 121444088 255661815 
151508682 83234376 217452104 
180648890 97009762 231227490 
57086816 129900246 264117973 
89710106 113570588 247788315 
40356790 215263520 81045792 
97702970 128113680 262331407 
253610072 232061676 253610071 
143811066 209004746 74787017 
4224806 53935562 188153289 
192177980 9988460 192177980 
142069130 106490864 240708592 
138750012 63724486 197942214 
24530960 90401044 224618771 
2803262 5003222 139176818 
211470700 105659558 239877286 
247141896 249034088 114725543 
5423514 10148846 144365197 
110516244 164387368 110516244 
8269558 173232110 39014382 
217357140 239931950 105714221 
264688646 82091022 264688646 
50680030 61033574 195251301 
66917414 21061240 66917413 
12577586 97320628 231538355 
108743296 130020008 264237735 
58084420 31067824 58084419 
28135910 140512890 28135910 
227996782 92378142 228109498 
172922660 15700502 172922660 
86068190 197353044 86068190 
129392556 233901770 129392556 
45937960 44229850 45848716 
264125966 47468188 264125966 
21862142 127598930 261816657 
15808290 197540688 63322960 
214157276 162958598 214157275 
264222262 96105258 264222262 
53885000 101937432 236155159 
104884132 97629890 104884093 
148880298 89556332 223774060 
207057316 237374732 103157003 
207096370 12389374 207096370 
100354680 144812464 100354680 
211683004 110221008 244438736 
261992812 139139458 261992811 
202991684 217204998 82987269 
237295806 103764270 238214854 
123002564 17111358 123002563 
30515036 216384014 82166286 
233864004 113590096 247807824 
1210400 37579516 171797243 
180691482 241910354 107692625 
86650412 182277168 86650412 
108446088 253716688 119498960 
188473906 78132028 212349756 
129196028 254805192 129196036 
208622194 256613610 122395881 
132546274 72210442 132546273 
184351298 155708236 184351297 
51047064 149935618 51047064 
109828554 87215554 109828553 
205467200 84881924 219099652 
258782184 111432002 258782184 
186505080 105334122 239551850 
198475066 168482876 198475065 
259008760 27027806 259008760 
213060710 149843952 213060709 
214151756 180640552 214151755 
101749964 37267788 101749963 
116697102 92532642 116697101 
48980140 227103022 92885294 
266268054 264712348 266143618 
237022306 240422612 106196002 
161326968 111057444 245275172 
101267940 114954014 249171741 
123694124 67128088 123694123 
62488906 56859654 62488534 
168929720 215687624 81469895 
234575078 132344402 266562130 
214351182 176395202 214351181 
5988876 20510164 154727891 
131625176 60230478 131625175 
140823712 61326802 195544530 
105914894 65080068 105914893 
71420426 96488590 230706317 
124290660 237525294 124290660 
98911168 79262200 98911167 
76283726 36865438 76283725 
11664256 133602782 267820509 
3589290 48082108 182299835 
173024446 133312582 267530310 
97984694 259527964 125310236 
253152864 198142036 253152863 
242122542 203158686 242122541 
68155524 175778268 68155524 
136780180 213782036 79564307 
242980212 237207648 242979843 
154148454 67416234 201633962 
124860810 254819084 124862917 
162172268 60085028 194302756 
94792924 237897104 103679383 
229358322 264698240 130480511 
206195704 35049310 206195704 
93918974 105213350 239431077 
87554822 247662342 113444614 
